DayOfWeek,TimeOfDay,Season,CustomerZipCode,StoreZipCode,OrderedQty,ItemID,ShippingOption,HasDiscount,IsPeakSeason,IsWeekend,Distance,Inventory,FulfillmentSuccess
Sun,Afternoon,Winter,64656,61814,39,Item4,Overnight,TRUE,FALSE,TRUE,326.2809461,84,1
Thu,Evening,Summer,32940,98380,29,Item2,Overnight,FALSE,FALSE,TRUE,2612.493703,71,0
Fri,Morning,Winter,41039,91208,15,Item3,Standard,TRUE,TRUE,TRUE,1922.568494,86,0
Sun,Afternoon,Summer,65591,80137,43,Item2,Standard,FALSE,TRUE,FALSE,655.8263626,97,0
Wed,Afternoon,Fall,1068,30656,8,Item4,Expedited,FALSE,TRUE,FALSE,861.9275401,50,0
Fri,Evening,Spring,12166,60620,21,Item4,Standard,TRUE,FALSE,FALSE,677.5486561,36,0
Fri,Evening,Spring,45674,70462,39,Item3,Standard,FALSE,TRUE,FALSE,749.4038736,74,1
Sun,Evening,Fall,88256,67122,19,Item4,Expedited,FALSE,TRUE,FALSE,564.4064236,55,0
Tue,Evening,Summer,63384,76431,23,Item3,Standard,TRUE,FALSE,TRUE,530.9476708,45,1
Wed,Evening,Winter,22718,14012,11,Item4,Standard,FALSE,FALSE,FALSE,337.8130216,72,1
Sun,Night,Summer,48335,59484,11,Item1,Overnight,FALSE,FALSE,TRUE,1429.41548,36,0
Wed,Evening,Spring,27872,79915,24,Item3,Overnight,FALSE,TRUE,FALSE,1689.288813,44,0
Wed,Morning,Fall,30082,48721,36,Item2,Expedited,FALSE,TRUE,TRUE,758.6494335,21,0
Fri,Afternoon,Fall,57059,75929,40,Item3,Overnight,TRUE,TRUE,FALSE,843.7684662,24,0
Thu,Morning,Summer,76311,41564,24,Item4,Standard,TRUE,TRUE,FALSE,936.8152641,23,0
Wed,Morning,Summer,56567,37030,3,Item4,Overnight,FALSE,FALSE,TRUE,859.4987025,55,1
Sat,Night,Fall,63028,24378,22,Item4,Overnight,FALSE,FALSE,FALSE,501.5343452,25,1
Fri,Evening,Spring,34482,12546,2,Item2,Expedited,TRUE,TRUE,FALSE,1004.562257,40,0
Tue,Afternoon,Winter,65604,67853,24,Item2,Standard,TRUE,TRUE,TRUE,380.5002614,96,1
Thu,Morning,Winter,32680,45776,44,Item4,Expedited,FALSE,FALSE,TRUE,665.9569462,45,0
Sat,Evening,Summer,98650,56547,30,Item1,Standard,FALSE,TRUE,TRUE,1185.265987,74,1
Sat,Evening,Fall,34251,44671,38,Item3,Standard,TRUE,TRUE,FALSE,917.1656037,58,0
Tue,Night,Fall,5034,15536,2,Item4,Standard,FALSE,FALSE,TRUE,381.9260153,52,1
Thu,Night,Fall,71235,86030,21,Item1,Overnight,FALSE,TRUE,FALSE,1055.987476,33,0
Fri,Night,Spring,60104,5654,33,Item2,Expedited,FALSE,TRUE,FALSE,791.5066018,75,1
Mon,Afternoon,Summer,17501,25537,12,Item4,Standard,FALSE,FALSE,TRUE,342.5402157,40,1
Thu,Morning,Summer,17740,17239,22,Item3,Overnight,TRUE,TRUE,TRUE,81.21551473,65,1
Tue,Night,Summer,14005,57766,44,Item3,Expedited,TRUE,TRUE,FALSE,1252.006822,35,1
Sat,Night,Spring,41255,3825,25,Item2,Overnight,TRUE,TRUE,TRUE,717.9480909,35,1
Fri,Night,Summer,99724,84631,49,Item4,Overnight,TRUE,FALSE,FALSE,2317.103833,48,0
Thu,Morning,Winter,62285,37918,27,Item4,Standard,TRUE,TRUE,FALSE,371.6555891,27,1
Mon,Morning,Summer,66440,33026,42,Item4,Expedited,TRUE,TRUE,FALSE,1275.185376,22,0
Mon,Night,Summer,24129,11581,28,Item1,Overnight,TRUE,TRUE,FALSE,441.7136695,38,0
Wed,Night,Summer,63146,93015,16,Item1,Overnight,TRUE,TRUE,TRUE,1596.192614,85,0
Wed,Evening,Spring,33467,37374,15,Item4,Overnight,TRUE,TRUE,TRUE,674.6802121,98,0
Sun,Night,Winter,78352,36401,47,Item3,Overnight,FALSE,TRUE,TRUE,687.1870845,93,0
Tue,Afternoon,Winter,39845,44626,44,Item1,Standard,TRUE,TRUE,FALSE,700.4272547,41,0
Thu,Afternoon,Fall,35233,35054,3,Item3,Standard,FALSE,FALSE,FALSE,27.31344621,65,1
Thu,Night,Fall,31328,34205,37,Item1,Expedited,FALSE,TRUE,FALSE,328.5754672,32,1
Sun,Morning,Winter,34431,89402,7,Item2,Overnight,FALSE,TRUE,FALSE,2232.920317,110,1
Sat,Evening,Summer,42635,3222,21,Item2,Standard,TRUE,FALSE,TRUE,819.4055666,24,0
Sat,Morning,Summer,92867,36312,9,Item2,Expedited,FALSE,FALSE,FALSE,1897.006892,96,0
Sun,Night,Summer,31071,27888,39,Item3,Expedited,TRUE,TRUE,TRUE,410.2601221,46,0
Sat,Afternoon,Spring,32083,45424,18,Item3,Standard,TRUE,FALSE,FALSE,681.8999832,97,1
Wed,Evening,Summer,76044,71935,4,Item4,Standard,TRUE,TRUE,TRUE,257.200341,43,1
Thu,Morning,Spring,32811,91606,25,Item4,Overnight,FALSE,TRUE,FALSE,2201.021712,86,0
Sun,Morning,Winter,21737,75401,14,Item2,Standard,FALSE,FALSE,TRUE,1140.444875,82,0
Thu,Night,Summer,27247,71759,9,Item2,Standard,TRUE,FALSE,TRUE,747.6464702,67,0
Mon,Evening,Summer,94002,49903,26,Item1,Standard,FALSE,TRUE,FALSE,1824.356879,82,0
Wed,Afternoon,Fall,43730,36473,2,Item2,Expedited,TRUE,FALSE,FALSE,641.7311656,97,1
Fri,Night,Winter,38361,28020,20,Item2,Standard,FALSE,FALSE,FALSE,374.3094925,31,0
Wed,Evening,Summer,60518,53803,28,Item2,Expedited,FALSE,FALSE,FALSE,98.88256291,47,0
Sun,Morning,Spring,95936,45378,47,Item3,Expedited,FALSE,FALSE,TRUE,1914.384393,63,0
Fri,Night,Winter,57449,75703,7,Item3,Standard,TRUE,FALSE,TRUE,943.9647886,62,1
Mon,Morning,Fall,49001,59642,44,Item2,Expedited,FALSE,FALSE,TRUE,1270.239591,36,0
Sun,Morning,Winter,66080,70748,8,Item1,Overnight,TRUE,FALSE,TRUE,572.1299507,59,0
Tue,Night,Spring,79518,68524,47,Item1,Overnight,FALSE,TRUE,FALSE,564.8242028,68,0
Thu,Night,Fall,79560,25303,35,Item4,Expedited,FALSE,TRUE,TRUE,1110.038989,76,1
Mon,Night,Spring,78576,64484,14,Item2,Standard,TRUE,TRUE,FALSE,934.8851559,83,0
Thu,Night,Winter,12547,53059,17,Item3,Standard,FALSE,FALSE,FALSE,748.4109478,94,0
Sat,Night,Fall,81527,89178,36,Item2,Expedited,TRUE,TRUE,FALSE,417.6862892,76,1
Tue,Morning,Spring,23963,61568,40,Item1,Standard,TRUE,TRUE,TRUE,617.4141954,93,1
Tue,Afternoon,Winter,58652,27109,4,Item3,Expedited,FALSE,TRUE,TRUE,1350.88112,93,0
Mon,Afternoon,Spring,58461,30568,2,Item3,Overnight,TRUE,FALSE,TRUE,1113.900173,89,1
Tue,Night,Summer,1588,59353,6,Item3,Expedited,FALSE,FALSE,TRUE,1627.058956,95,0
Fri,Morning,Winter,57601,30033,42,Item4,Expedited,TRUE,FALSE,FALSE,1171.347536,62,0
Tue,Afternoon,Fall,75240,76093,4,Item2,Overnight,TRUE,FALSE,FALSE,60.99233629,42,1
Thu,Afternoon,Fall,74569,7885,29,Item2,Overnight,FALSE,FALSE,TRUE,1243.274272,46,0
Thu,Afternoon,Summer,77086,71350,18,Item2,Expedited,TRUE,FALSE,TRUE,218.967007,77,1
Sun,Morning,Spring,24622,72840,26,Item1,Overnight,TRUE,TRUE,FALSE,667.9253531,56,0
Thu,Night,Spring,16328,38061,44,Item3,Overnight,TRUE,FALSE,FALSE,667.1715455,25,1
Sun,Night,Fall,60555,50240,34,Item3,Standard,TRUE,TRUE,FALSE,291.9502403,84,1
Thu,Night,Spring,46933,23224,10,Item1,Overnight,FALSE,FALSE,TRUE,481.4266782,25,1
Fri,Evening,Winter,2672,43413,36,Item4,Overnight,FALSE,FALSE,TRUE,690.1247816,69,0
Sun,Evening,Winter,24581,38351,14,Item1,Expedited,FALSE,TRUE,FALSE,548.6552632,41,0
Wed,Evening,Fall,16634,57780,31,Item3,Overnight,TRUE,FALSE,FALSE,1265.503469,44,0
Sat,Morning,Winter,4537,82009,48,Item4,Expedited,TRUE,TRUE,TRUE,1784.045504,98,0
Mon,Afternoon,Fall,29918,81612,15,Item4,Standard,FALSE,TRUE,TRUE,1489.461384,91,0
Thu,Afternoon,Spring,65263,30471,8,Item3,Expedited,FALSE,TRUE,TRUE,735.452024,70,0
Tue,Morning,Spring,74079,50635,14,Item1,Expedited,FALSE,TRUE,TRUE,493.5758655,67,1
Thu,Morning,Spring,46986,61540,23,Item2,Standard,TRUE,TRUE,FALSE,189.1110816,89,1
Tue,Night,Summer,29544,2840,40,Item2,Standard,FALSE,TRUE,TRUE,671.8266454,84,1
Sat,Night,Fall,50604,52156,21,Item2,Overnight,TRUE,FALSE,TRUE,79.10432058,79,1
Sat,Evening,Winter,98311,75169,16,Item1,Expedited,TRUE,FALSE,FALSE,1728.454989,65,0
Sat,Evening,Spring,46147,51578,45,Item3,Expedited,FALSE,TRUE,TRUE,473.4063703,55,0
Tue,Morning,Summer,48808,22964,18,Item1,Expedited,TRUE,FALSE,TRUE,454.9959794,77,1
Thu,Evening,Winter,7512,33837,47,Item2,Standard,FALSE,FALSE,FALSE,971.820577,95,0
Sat,Afternoon,Winter,85041,93633,24,Item2,Expedited,FALSE,TRUE,FALSE,450.3978319,57,1
Fri,Morning,Winter,1079,46601,26,Item2,Overnight,TRUE,TRUE,TRUE,715.0342419,30,0
Sun,Morning,Spring,88343,28023,25,Item1,Standard,TRUE,TRUE,TRUE,1399.37015,31,0
Tue,Afternoon,Winter,23337,83876,45,Item1,Expedited,FALSE,TRUE,TRUE,2175.547274,61,0
Tue,Night,Fall,39743,32140,41,Item2,Standard,FALSE,TRUE,TRUE,466.8074347,58,0
Thu,Night,Summer,12855,1721,29,Item4,Standard,FALSE,TRUE,TRUE,168.1267963,90,1
Tue,Afternoon,Winter,97430,62254,15,Item2,Standard,FALSE,TRUE,TRUE,1783.722697,30,1
Tue,Afternoon,Winter,19107,49509,45,Item3,Expedited,FALSE,TRUE,FALSE,581.5745478,55,1
Sat,Evening,Fall,29414,58579,1,Item1,Expedited,FALSE,TRUE,TRUE,1464.891649,71,0
Thu,Morning,Winter,45347,5664,25,Item4,Overnight,TRUE,TRUE,TRUE,686.9711083,50,0
Sat,Evening,Spring,30721,15378,7,Item4,Standard,TRUE,FALSE,TRUE,455.8508165,52,1
Sun,Afternoon,Spring,20542,29564,9,Item3,Expedited,TRUE,TRUE,FALSE,408.791375,32,1
Sun,Evening,Spring,87901,88114,24,Item2,Expedited,FALSE,FALSE,TRUE,208.2660142,37,1
Sat,Afternoon,Winter,49689,33125,1,Item2,Overnight,TRUE,TRUE,TRUE,1311.392118,60,0
Sun,Evening,Summer,93591,98126,44,Item2,Expedited,FALSE,FALSE,TRUE,924.7870106,77,1
Thu,Evening,Summer,50042,15337,8,Item3,Expedited,FALSE,FALSE,TRUE,766.7126022,75,1
Mon,Night,Winter,43759,48315,24,Item1,Expedited,TRUE,FALSE,TRUE,205.9204403,43,0
Sat,Afternoon,Summer,40953,49112,11,Item1,Standard,TRUE,TRUE,FALSE,356.0966389,92,1
Fri,Evening,Summer,42134,74451,17,Item3,Overnight,FALSE,TRUE,TRUE,474.7919362,50,1
Fri,Morning,Winter,63547,18464,8,Item1,Overnight,TRUE,TRUE,TRUE,898.4484727,74,0
Tue,Evening,Spring,43963,18915,35,Item3,Overnight,FALSE,FALSE,TRUE,286.8696692,29,0
Sun,Evening,Winter,15545,42459,35,Item3,Expedited,TRUE,TRUE,FALSE,520.8933884,79,0
Fri,Morning,Spring,47471,18912,33,Item4,Expedited,TRUE,TRUE,FALSE,638.668694,21,0
Tue,Afternoon,Spring,73016,61049,5,Item4,Expedited,TRUE,FALSE,FALSE,634.5498308,34,0
Mon,Night,Summer,72384,73717,42,Item1,Standard,TRUE,FALSE,TRUE,487.9210074,22,1
Thu,Night,Summer,27969,24460,39,Item4,Standard,TRUE,TRUE,TRUE,189.960669,62,0
Thu,Night,Spring,92518,72533,41,Item1,Overnight,TRUE,TRUE,FALSE,1420.215861,50,0
Thu,Morning,Spring,46799,95004,28,Item3,Standard,TRUE,FALSE,FALSE,1959.231544,89,0
Fri,Evening,Summer,90680,48766,7,Item1,Standard,FALSE,TRUE,TRUE,1949.678703,86,0
Mon,Afternoon,Fall,79706,28333,9,Item4,Expedited,TRUE,TRUE,FALSE,1395.299101,75,0
Fri,Evening,Spring,7021,54603,8,Item1,Expedited,FALSE,FALSE,TRUE,889.1181519,82,1
Sun,Night,Spring,49097,20693,12,Item4,Overnight,FALSE,FALSE,TRUE,509.0290472,94,0
Fri,Evening,Spring,63052,46537,34,Item3,Expedited,TRUE,TRUE,TRUE,304.3263943,34,0
Mon,Morning,Summer,38451,48145,33,Item2,Expedited,FALSE,TRUE,TRUE,480.0616145,29,0
Mon,Morning,Winter,68382,58001,48,Item3,Standard,TRUE,FALSE,TRUE,405.5794927,57,0
Sun,Afternoon,Spring,64474,38865,23,Item4,Overnight,TRUE,FALSE,TRUE,468.2427723,66,1
Mon,Afternoon,Spring,32726,36049,24,Item1,Standard,TRUE,TRUE,FALSE,339.9917437,76,1
Mon,Night,Spring,97208,3864,37,Item4,Overnight,FALSE,TRUE,FALSE,2494.04604,69,0
Thu,Afternoon,Winter,46915,23116,35,Item4,Overnight,TRUE,FALSE,FALSE,522.1389007,90,0
Sun,Evening,Winter,88130,78608,44,Item2,Expedited,FALSE,TRUE,TRUE,383.220513,34,1
Wed,Morning,Spring,59645,58579,40,Item1,Standard,FALSE,FALSE,FALSE,486.525651,37,0
Wed,Morning,Spring,44660,43085,22,Item4,Standard,TRUE,TRUE,FALSE,74.6743702,21,1
Mon,Morning,Fall,91302,72424,27,Item3,Expedited,TRUE,FALSE,TRUE,1577.695688,62,0
Wed,Afternoon,Winter,52344,7305,35,Item3,Overnight,TRUE,FALSE,FALSE,915.2426989,45,0
Wed,Morning,Fall,92392,91371,1,Item4,Overnight,FALSE,FALSE,FALSE,69.57560304,90,1
Mon,Morning,Spring,19311,48178,35,Item4,Overnight,FALSE,FALSE,TRUE,448.5076534,57,0
Wed,Morning,Spring,83120,98366,37,Item4,Overnight,TRUE,FALSE,TRUE,635.1580129,61,0
Fri,Night,Spring,64493,62839,47,Item4,Expedited,FALSE,FALSE,FALSE,317.9957601,24,0
Tue,Night,Spring,30663,4083,14,Item3,Overnight,TRUE,TRUE,TRUE,967.2484654,30,0
Sun,Afternoon,Summer,2671,13134,3,Item2,Standard,TRUE,FALSE,TRUE,298.2731871,84,1
Tue,Morning,Summer,65713,96820,1,Item4,Overnight,FALSE,TRUE,FALSE,3996.799163,53,0
Mon,Afternoon,Summer,67038,93603,5,Item1,Overnight,FALSE,TRUE,TRUE,1229.417944,20,0
Thu,Morning,Fall,48316,27939,26,Item2,Overnight,FALSE,FALSE,TRUE,587.0136742,21,0
Sun,Morning,Winter,76044,54914,14,Item3,Expedited,TRUE,FALSE,FALSE,951.6644002,39,0
Mon,Morning,Spring,67452,65661,39,Item4,Overnight,FALSE,TRUE,FALSE,274.7330432,80,1
Thu,Afternoon,Winter,35476,25541,27,Item4,Expedited,FALSE,FALSE,FALSE,473.5850693,40,0
Tue,Afternoon,Summer,34288,64756,9,Item4,Standard,TRUE,FALSE,TRUE,1005.401514,87,0
Mon,Morning,Spring,36110,43150,15,Item4,Overnight,FALSE,TRUE,TRUE,549.3370651,31,0
Sun,Evening,Spring,52175,21210,15,Item1,Overnight,FALSE,FALSE,FALSE,826.9123268,41,0
Sun,Afternoon,Fall,63020,15778,26,Item4,Standard,FALSE,FALSE,FALSE,636.4049788,39,1
Sat,Night,Winter,17022,53948,42,Item3,Overnight,FALSE,FALSE,FALSE,732.7225897,20,0
Fri,Afternoon,Fall,27814,58528,13,Item1,Overnight,FALSE,FALSE,TRUE,1441.839398,49,0
Wed,Morning,Summer,35653,12733,32,Item2,Expedited,TRUE,FALSE,FALSE,873.5272555,43,1
Thu,Evening,Winter,57521,44141,39,Item2,Expedited,TRUE,TRUE,FALSE,1007.880746,33,0
Sat,Morning,Summer,40390,13353,49,Item2,Standard,TRUE,FALSE,TRUE,648.5742811,55,0
Wed,Night,Fall,55793,94063,32,Item4,Expedited,TRUE,TRUE,TRUE,1607.40086,88,0
Wed,Afternoon,Fall,93535,75146,4,Item2,Expedited,TRUE,FALSE,FALSE,1222.014122,94,1
Mon,Afternoon,Spring,59086,57720,30,Item1,Standard,FALSE,TRUE,TRUE,340.8497949,43,1
Wed,Morning,Winter,25264,8060,37,Item1,Standard,FALSE,FALSE,FALSE,387.0304265,79,1
Fri,Morning,Winter,17870,12561,23,Item2,Overnight,TRUE,FALSE,FALSE,158.9887387,74,1
Sun,Night,Spring,56654,2812,39,Item2,Overnight,FALSE,FALSE,TRUE,1185.047457,96,0
Sat,Evening,Winter,29208,72441,45,Item1,Overnight,FALSE,FALSE,TRUE,554.0279485,99,0
Wed,Night,Summer,78671,4063,15,Item3,Overnight,FALSE,TRUE,FALSE,1797.033281,43,0
Mon,Evening,Summer,97841,67030,43,Item2,Expedited,TRUE,TRUE,TRUE,1174.059804,96,1
Fri,Afternoon,Fall,34491,58744,29,Item1,Expedited,TRUE,FALSE,TRUE,1647.742486,43,0
Tue,Evening,Summer,97859,67215,36,Item2,Standard,FALSE,TRUE,FALSE,1209.696433,73,0
Sun,Evening,Winter,76431,1609,13,Item1,Standard,TRUE,TRUE,TRUE,1541.630074,45,1
Sun,Afternoon,Spring,23460,82063,32,Item4,Expedited,TRUE,TRUE,TRUE,1626.894011,85,1
Sat,Afternoon,Fall,95490,48603,7,Item2,Overnight,FALSE,TRUE,FALSE,2033.172955,99,0
Sun,Afternoon,Spring,59430,71406,22,Item2,Overnight,TRUE,TRUE,FALSE,1383.129447,57,0
Wed,Night,Fall,99569,2148,28,Item3,Overnight,FALSE,TRUE,TRUE,3697.602191,84,0
Mon,Afternoon,Fall,74872,41139,2,Item3,Overnight,TRUE,TRUE,TRUE,829.1231522,94,0
Sun,Morning,Spring,67952,98640,42,Item3,Standard,FALSE,FALSE,FALSE,1331.951633,70,0
Sun,Afternoon,Summer,50313,36114,45,Item3,Expedited,FALSE,FALSE,FALSE,756.4636376,54,0
Tue,Afternoon,Summer,45870,71962,6,Item2,Standard,TRUE,TRUE,TRUE,683.4388678,62,1
Tue,Afternoon,Summer,41819,97494,28,Item2,Expedited,FALSE,TRUE,FALSE,2146.850546,48,0
